Name,Country,Date,VEI,Latitude,Longitude
St. Helens,USA,1980-05-18,5,46.1914,-122.1956
Pinatubo,Philippines,1991-04-02,6,15.1501,120.3465
El Chichón,Mexico,1982-03-28,5,17.3559,-93.2233
Galunggung,Indonesia,1982-04-05,4,-7.2567,108.0771
Nevado del Ruiz,Colombia,1985-11-13,3,4.895,-75.322
Merapi,Indonesia,2023-12-03,2,-7.5407,110.4457
Ontake,Japan,2014-09-27,2,35.5149,137.4781
Soufrière Hills,Montserrat,1997-06-25,3,16.7123,-62.1756
Etna,Italy,2021-03-16,2,37.751,15.0044
Nyiragongo,DR Congo,2021-05-22,1,-1.52,29.25
Kīlauea,USA,2018-05-03,2,19.4194,-155.2811
Agung,Indonesia,2017-11-21,3,-8.3422,115.5083
Tavurvur,Papua New Guinea,2014-08-29,3,-4.3494,152.2847
Sinabung,Indonesia,2023-02-13,3,3.1719,98.3925
Taal,Philippines,2020-01-12,4,14.002,120.9934
La Soufrière,Saint Vincent,2021-04-09,4,13.2833,-61.3875
Calbuco,Chile,2015-04-22,4,-41.2972,-72.6097
St. Augustine,USA,2006-03-27,3,57.8819,-155.5611
Eyjafjallajökull,Iceland,2010-04-14,4,63.6333,-19.6111
Cleveland,USA,2023-05-23,3,52.825,-169.9444